Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,Yeilds,Humidity,Crops,Price,Season
2004,Mangalore,1279,2903.1,27.0,Alluvial,Drip,7.852050207265889,57.0,Coconut,200000,Kharif
2004,Mangalore,13283,2903.1,27.0,Alluvial,Drip,10.209905507043057,57.5,Coconut,4847,Kharif
2004,Mangalore,52119,2903.1,27.0,Alluvial,Drip,11.650467553988712,57.0,Coconut,51239,Kharif
2004,Mangalore,725,2996.6,27.0,Alluvial,Drip,7.246368080102461,55.0,Coconut,216396,Kharif
2004,Mangalore,12885,2996.6,27.0,Alluvial,Drip,10.062924236792623,56.0,Coconut,2644,Kharif
2004,Mangalore,51179,2996.6,27.0,Alluvial,Drip,11.588125697533163,54.0,Coconut,44235,Kharif
2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,7.0326242610280065,58.0,Coconut,203317,Kharif
2004,Mangalore,11841,3522.8,27.2,Alluvial,Drip,10.0841827875855,58.0,Coconut,2134,Kharif
2004,Mangalore,50975,3522.8,27.2,Alluvial,Drip,11.74790272098998,59.0,Coconut,45186,Kharif
2004,Mangalore,206,3729.8,27.0,Alluvial,Drip,6.690842277418564,50.0,Coconut,238542,Kharif
2004,Mangalore,10922,3729.8,27.0,Alluvial,Drip,10.32098004085701,54.0,Coconut,1516,Kharif
2004,Mangalore,51390,3729.8,27.0,Alluvial,Drip,11.732004768406622,53.0,Coconut,57259,Kharif
2004,Mangalore,177,2746.2,27.0,Alluvial,Drip,6.675823221634848,52.0,Coconut,234779,Kharif
2004,Mangalore,10723,2746.2,27.0,Alluvial,Drip,10.438634988447184,51.0,Coconut,1493,Kharif
2004,Kodagu,51709,2746.2,27.0,Alluvial,Drip,11.794730300249133,57.0,Coconut,64409,Kharif
2004,Kodagu,146,3360.0,27.2,Alluvial,Drip,5.82600010738045,57.0,Coconut,249978,Kharif
2004,Kodagu,10910,3360.0,27.2,Alluvial,Drip,10.041813682016414,60.0,Coconut,637,Kharif
2004,Kodagu,51355,3360.0,27.2,Alluvial,Drip,11.7887677226178,57.0,Coconut,43311,Kharif
2004,Kodagu,160,3605.4,27.1,Alluvial,Drip,6.003887067106539,57.0,Coconut,24848,Kharif
2004,Kodagu,10912,3605.4,27.1,Alluvial,Drip,10.093487885257083,54.0,Coconut,761,Kharif
2004,Kodagu,51353,3605.4,27.1,Alluvial,Drip,11.731160991611851,54.5,Coconut,45608,Kharif
2004,Kodagu,142,3512.4,26.8,Alluvial,Drip,5.840641657373398,56.6,Coconut,234581,Kharif
2004,Kodagu,10505,3512.4,26.8,Alluvial,Drip,10.047587896509885,55.5,Coconut,646,Kharif
2004,Kodagu,51040,3512.4,26.8,Alluvial,Drip,11.676971368050221,58.5,Coconut,43562,Kharif
2004,Kodagu,154,3296.0,37.0,Alluvial,Drip,5.820082930352362,59.5,Coconut,200000,Kharif
2004,Kodagu,10318,3296.0,37.0,Alluvial,Drip,10.02548392184538,55.0,Coconut,4847,Kharif
2004,Kodagu,48083,3296.0,37.0,Alluvial,Drip,11.665492634563813,53.0,Coconut,51239,Kharif
2004,Kasaragodu,143,3550.0,38.0,Alluvial,Drip,5.75890177387728,53.5,Coconut,216396,Kharif
2004,Kasaragodu,9283,3550.0,38.0,Alluvial,Drip,9.97119292889014,52.5,Coconut,2644,Kharif
2004,Kasaragodu,47200,3550.0,38.0,Alluvial,Drip,11.712620229821528,56.0,Coconut,44235,Kharif
2004,Kasaragodu,158,3654.0,39.0,Alluvial,Drip,5.948034989180646,57.0,Coconut,203317,Kharif
2004,Kasaragodu,8982,3654.0,39.0,Alluvial,Drip,9.882212842257273,57.5,Coconut,2134,Kharif
2004,Kasaragodu,46990,3654.0,39.0,Alluvial,Drip,11.703859824862406,57.0,Coconut,45186,Kharif
2004,Kasaragodu,103,233.0,40.0,Alluvial,Drip,5.44673737166631,55.0,Coconut,238542,Kharif
2004,Kasaragodu,8239,233.0,40.0,Alluvial,Drip,9.849664745838622,56.0,Coconut,1516,Kharif
2004,Kasaragodu,44563,233.0,40.0,Alluvial,Drip,11.613494519891924,54.0,Coconut,57259,Kharif
2004,Kasaragodu,96,234.0,41.0,Alluvial,Drip,5.402677381872279,58.0,Coconut,234779,Kharif
2004,Kasaragodu,6949,234.0,41.0,Alluvial,Drip,9.63971730013066,58.0,Coconut,1493,Kharif
2004,Kasaragodu,44663,234.0,41.0,Alluvial,Drip,11.698358841693127,59.0,Coconut,64409,Kharif
2004,Kasaragodu,110,3105.0,42.0,Red,Drip,5.676753802268282,50.0,Coconut,249978,Kharif
2004,Kasaragodu,6824,3105.0,42.0,Red,Drip,9.75452339939617,54.0,Coconut,637,Kharif
2004,Kasaragodu,43013,3105.0,42.0,Red,Drip,11.689899415437587,53.0,Coconut,43311,Kharif
2004,Raichur,95,236.0,43.0,Red,Drip,5.648974238161206,52.0,Coconut,24848,Kharif
2004,Raichur,6441,236.0,43.0,Red,Drip,9.780811314668615,51.0,Coconut,761,Kharif
2004,Raichur,4012,2903.1,27.0,Red,Basin,8.875985891325971,57.0,Coconut,45608,Kharif
2004,Raichur,4877,2903.1,27.0,Red,Basin,9.071193240566025,57.0,Coconut,234581,Kharif
2004,Raichur,4930,2903.1,27.0,Red,Basin,10.627818428076326,60.0,Coconut,646,Rabi
2004,Raichur,4954,2996.6,27.0,Red,Basin,9.086929027060949,57.0,Coconut,43562,Rabi
2004,Raichur,5019,2996.6,27.0,Red,Basin,9.099967314494812,57.0,Coconut,200000,Rabi
2004,Raichur,5127,2996.6,27.0,Red,Basin,10.666999995756637,54.0,Coconut,4847,Rabi
2004,Raichur,5174,3522.8,27.2,Red,Basin,9.130322663990151,54.5,Coconut,51239,Rabi
2004,Raichur,5294,3522.8,27.2,Red,Basin,10.699055933195222,56.6,Coconut,216396,Rabi
2004,Raichur,5474,3522.8,27.2,Red,Basin,10.732497780300108,55.5,Coconut,2644,Rabi
2004,Raichur,5864,3729.8,27.0,Red,Basin,10.801308768126622,58.5,Coconut,44235,Rabi
2004,Raichur,7028,3729.8,27.0,Red,Basin,11.365723917231175,59.5,Coconut,203317,Rabi
2004,Raichur,7403,3729.8,27.0,Red,Basin,10.962024095948502,55.0,Coconut,2134,Rabi
2004,Raichur,7501,2746.2,27.0,Red,Basin,10.97517390326498,53.0,Coconut,45186,Rabi
2004,Raichur,7714,2746.2,27.0,Red,Basin,11.014555282471584,53.5,Coconut,238542,Rabi
2004,Raichur,7856,2746.2,27.0,Red,Basin,11.603743753136092,52.5,Coconut,1516,Rabi
2004,Raichur,32,3360.0,27.2,Red,Basin,4.74493212836325,56.0,Coconut,57259,Rabi
2004,Raichur,1,3360.0,27.2,Red,Basin,1.3862943611198906,57.0,Coconut,234779,Rabi
2004,Raichur,30,3360.0,27.2,Red,Basin,4.564348191467836,57.5,Coconut,1493,Rabi
2004,Gulbarga,6,3605.4,27.1,Red,Basin,2.995732273553991,57.0,Coconut,64409,Rabi
2004,Gulbarga,15,3605.4,27.1,Red,Basin,4.007333185232471,55.0,Coconut,249978,Rabi
2004,Gulbarga,4,3605.4,27.1,Red,Basin,2.6390573296152584,56.0,Coconut,200000,Rabi
2004,Gulbarga,39,3512.4,26.8,Red,Basin,4.820281565605037,54.0,Coconut,4847,Rabi
2004,Gulbarga,6,3512.4,26.8,Red,Basin,2.995732273553991,58.0,Coconut,51239,Rabi
2004,Gulbarga,12,3512.4,26.8,Red,Basin,3.4965075614664802,58.0,Coconut,216396,Rabi
2004,Gulbarga,3,3296.0,37.0,Red,Basin,2.1972245773362196,59.0,Coconut,2644,Rabi
2004,Gulbarga,17,3296.0,37.0,Black,Basin,3.9318256327243257,50.0,Coconut,44235,Rabi
2004,Gulbarga,3,3296.0,37.0,Black,Basin,2.3978952727983707,54.0,Coconut,203317,Rabi
2004,Gulbarga,9,3550.0,38.0,Black,Basin,3.4011973816621555,53.0,Coconut,2134,Rabi
2004,Gulbarga,21,3550.0,38.0,Black,Basin,3.8066624897703196,52.0,Coconut,45186,Rabi
2004,Gulbarga,11,3550.0,38.0,Black,Basin,3.5263605246161616,51.0,Coconut,238542,Rabi
2004,Gulbarga,4,3654.0,39.0,Black,Basin,2.70805020110221,57.0,Coconut,1516,Rabi
2004,Gulbarga,15,3654.0,39.0,Black,Basin,4.04305126783455,57.0,Coconut,57259,Rabi
